id,title,city,street,phone,website,google_place_id,treatment_category,claimed
d737cf21-4bbc-440e-8f1f-fb9c0697871a,Saks Hair & Beauty Union Square,Aberdeen,"31 Guild St, Aberdeen AB11 5RG",+44 1224 591300,http://www.saksaberdeen.com/,ChIJF5H9rjsOhEgRBxDC3FwpCoA,Cosmetic Systems,NO
398ba646-575a-4f01-81e1-16d8ab618e80,Finishing Touches,Aberdeen,"29 Ashley Gardens, Aberdeen AB10 6SH",+44 1224 211117,,ChIJcRml7tARhEgRHwKZfBcixxU,,NO
109f5676-5460-4b39-80da-1d5fc184108d,London Hair System,Barnet,18 Station Rd,+44 20 8044 4030,https://londonhairsystem.uk/,ChIJ01ltcP8ZdkgRt8oEl66MEzE,Cosmetic Systems,NO
56bc22be-4140-42ba-9474-eb0b7409594f,Hair Loss Laser Group,Barrow-in-Furness,31 Furness Park Rd,+44 800 566 8564,,ChIJLVWa7sqofEgRI_lpbRC3dMc,Cosmetic Systems,NO
d581b3dc-0d42-469e-91a2-65fc404df37c,Barnet Boss,Basingstoke,115 Pack Ln,+44 7789 003190,http://barnetboss.co.uk/,ChIJ1QsyuKkYdEgRe14KVfWfd48,Cosmetic Systems,NO
fed626bd-f5ae-4cd6-bdd7-670a419425b0,Beautiful Betsy,Bath,39 Gay St,+44 7951 048297,http://www.beautifulbetsy.co.uk/,ChIJo4YmxGsickgRv45NNY0pGbg,Cosmetic Systems,NO
4dc07da9-4fec-4de9-9c15-999741d6e24f,Scalp Contour UK,Bath,"St James House, 44 St James's Parade",+44 1225 462288,,ChIJyzbSm4OBcUgRe_llT8CBMFE,Cosmetic Systems,NO
6918b728-6dbb-4d0d-ab65-6aa5289decbc,Jane Elizabeth Ltd,Bedford,22 Flitwick Rd,+44 7377 701153,,ChIJvdKqEHKzd0gRbEWhtMznT6c,Cosmetic Systems,NO
702d9410-1cb3-469a-9094-9586edd805e8,Restore by Danielle,Belper,8a Strutt St,+44 7716 575752,http://restorebydanielle.co.uk/,ChIJJZMeIDnzeUgRz63XvWc0-J8,Cosmetic Systems,NO
1c039751-c276-4023-8ef8-473da4cf29a6,Integration Hairloss Clinic,Birkenhead,22 Hamilton St,,,ChIJFeTEiRwne0gROOJ1UQ98wtk,Cosmetic Systems,NO
e46429bb-e712-4671-8cc3-19747e9887c8,Tru Hair,Birmingham,86-88 Hawthorn Rd,+44 121 377 7689,https://truhair.co.uk/,ChIJS5SP56GkcEgRWyOUrnc4olU,Cosmetic Systems,NO
ebe2f306-98cb-4948-ac1e-502d37d17a4b,Pink Hair,Birmingham,86-88 Hawthorn Rd,+44 121 350 3826,http://www.pinkhairsolutions.co.uk/,ChIJz0rC6KGkcEgRVAzaD2F6okw,Wig Specialist,NO
454b3378-f360-4f67-be2d-78b6051bfa63,Ke.Skin Aesthetic,Birmingham,"The Mansion, 27 Frederick St",+44 20 8129 2717,https://www.keskinaesthetic.co.uk/,ChIJgx44ac69cEgRiQI7L6Ggiso,Advanced Scalp Therapies,NO
f4f9b0a0-3f64-410f-be93-ade382fc6296,Big Hair Don't Care,Birmingham,55 Savernake Cl,+44 7562 428700,https://www.facebook.com/bighairdontcarebirmingham/,ChIJR2e7TwqVcEgRWG2FEbcsghc,Cosmetic Systems,NO
bab77051-aa91-4f57-9d7c-d51ba03c0cc0,A.P Hair replacement specialist,Birmingham,"Unit 4, Phenix Salon Suites, 2 Snow Hill Queensway",+44 7306 732273,http://vision2028.booksy.com/,ChIJ_V-mgpS9cEgR_Kr9hmwqafw,Cosmetic Systems,NO
f0de40cd-0d34-476b-8841-44e94b9f5e73,The Wig Clinic - Birmingham,Birmingham,41 The Priory Queensway,+44 121 401 1019,,ChIJ1Xgrgo-8cEgR9ksVoO-led0,Cosmetic Systems,NO
d58dd865-41af-45a4-b03f-ad46ebcbb312,Hair Loss Laser Group,Birmingham,253 Pretoria Rd,+44 121 529 1503,,ChIJqdhUhA67cEgRipcNIF8ejLQ,Cosmetic Systems,NO
ffd6695f-73c1-401a-9216-ef42845a0946,Haus of Brow - Advanced Aesthetics,Birmingham,"Evolution hair salon, 342 Bradford Rd",+44 7972 237667,http://www.haus-of-brow.com/,ChIJP_BdI9qxcEgRz0VlMzeq5JY,Cosmetic Systems,NO
2398a96f-19a9-4cae-b1fd-42d309190468,Anõn hair replacement specialist,Birmingham,"Unit 1, 14 Hylton St",,,ChIJEWSS5Su9cEgRSDI3p2gcUAo,Cosmetic Systems,NO
6b36108b-715c-4c3d-9b57-244f0bc71ec4,Scalp Doctor®️,Birmingham,"Branston Court, Branston St",+44 7401 213593,https://scalpdoctor.co.uk/,ChIJv0AivnC5cEgRbyiqgGaDj8M,Advanced Scalp Therapies,NO
9809fffa-0392-4a1d-816a-0a1a9733948c,The Scalp Store,Birmingham,12 The Minories,+44 7908 411850,,ChIJ62y2cwC9cEgRrZMEbdci0r4,Cosmetic Systems,NO
06cd65ed-2874-42d7-968f-15c0d9562377,"Aveline Therapy IV Drip & Hair Loss Clinic | Edgbaston, Birmingham",Birmingham,86 Hagley Rd,,http://www.avelinetherapy.co.uk/,ChIJh8A16hS9cEgR_fjZ0Y8eqKc,Cosmetic Systems,NO
f3badb33-0a95-442a-af57-3ee43d032b11,Defined Edge,Birmingham,80 High St,+44 7528 964681,,ChIJ_fCioOWxcEgRAIlBU49kqq8,Cosmetic Systems,NO
db0c3467-30fc-4732-a2a7-95521ec97251,The Salon & Co.,Blackpool,342 Waterloo Rd,+44 1253 699557,,ChIJHVUJZvFDe0gRgSQEGzhgQmI,Cosmetic Systems,NO
c8cdde71-72d2-4e5b-8eaf-47091ab458b9,Perfect Symmetry Beauty Clinic,Blackpool,"280 Whitegate Dr, Blackpool FY3 9JW",+44 1253 694441,,ChIJAQCm1Y5De0gRCdVJqY_Ma8Q,,NO
64d83ec8-23ac-4ab5-b821-30334e25c6d1,Hair Hub,Blackpool,"177 Church St, Blackpool FY1 3NX",+44 1253 759388,https://hairhubblackpool.co.uk/,ChIJq6qqqnlEe0gRk07ojEd7FEs,Cosmetic Systems,NO
a4cbe324-6cd2-4b32-bb86-37ab7725971f,Hairlucinations,Bootle,7475 Stanley Rd,+44 151 922 6652,http://www.hairlucinations.com/,ChIJofR2jPAje0gRnxZoE4GdUoI,Wig Specialist,NO
3b7e850b-c396-4f6f-9531-7f09c6c45bbd,Hairlucinations Hair Replacement,Bootle,"New Strand Shopping Centre, 74-75 The Hexagon",+44 7720 665077,https://hairlucinationswigs.com/,ChIJAUcvJSAje0gRQj-fC5N2kvA,Cosmetic Systems,NO
b29e05f6-dda3-4eae-8ace-d18900e3c3ba,REHAIR,Bournemouth,"189 Seabourne Rd, Bournemouth BH5 2HH",+44 7393 407154,https://www.re-hair.co.uk/,ChIJ0_z4rGyfc0gRQcrSeKVKMpw,Cosmetic Systems,NO
2b4161c7-2c72-4bf1-b319-b5ac2a7d1491,Yazmins Mobile Hair Extensions,Bournemouth,"9 Alumhurst Rd, Westbourne",+44 7581 002787,,ChIJ0xmj3qChc0gRWugKPcyOw5s,,NO
